client_name,country,fiscal_year_end,engagement_status,hours_logged,entry_date
Granite Audit Group,IE,2026-03-31,planning,8.4,2026-03-31
Zenith Assurance,ES,2026-09-30,complete,28.3,2026-06-30
Kestrel Audit (US),IT,2026-03-31,complete,97.1,2026-06-30
Fairview CPAs,,2026-06-30,complete,103.7,2026-03-31
Ironoak Assurance,FR,2026-09-30,planning,99.8,2026-12-31
Delta Assurance (EU),BE,2026-03-31,complete,55.6,2026-03-31
Delta Assurance (EU),BE,2026-03-31,complete,55.6,2026-03-31
Harborline LLP (US),FR,2026-12-31,fieldwork,57.0,2026-03-31
GRANITE AUDIT GROUP,IE,2026-09-30,fieldwork,95.2,2026-03-31
Oakfield LLP,DE,N/A,complete,61.5,2026-12-31
Everest Advisory,FR,2026-03-31,review,0.6,2026-06-30
Westbrook CPAs (EU),DE,2026-06-30,review,0.6,2026-06-30
Northgate Assurance,FR,2026-12-31,planning,8.7,2026-12-31
Oakfield LLP,IE,2026-06-30,review,103.3,2026-09-30
Fairview CPAs,FR,2026-09-30,review,15.6,2026-06-30
Granite Audit Group,DE,2026-06-30,review,59.7,2026-09-30
Zenith Assurance,,,fieldwork,50.9,2026-12-31
Lakeshore Partners,US,2026-12-31,planning,87.6,2026-06-30
Summit Assurance,GB,2026-12-31,complete,55.8,2026-06-30
Kestrel Audit (UK),FR,2026-03-31,planning,21.0,2026-03-31
Delta Assurance,CH,2026-06-30,review,9.5,2026-09-30
Umberline LLP,,2026-09-30,complete,30.3,2026-03-31
Summit Assurance,,2026-06-30,fieldwork,20.2,2026-12-31
  Beacon & Co (UK) ,US,2026-09-30,review,114.9,2026-09-30
Oakfield LLP,IT,2026-03-31,planning,103.0,2026-03-31
Pinnacle Audit Co (UK),ES,31/12/2026,fieldwork,19.3,2026-12-31
Summit Assurance,ES,2026-03-31,fieldwork,10.1,2026-06-30
Vantage Audit,CH,2026-06-30,fieldwork,56.3,2026-06-30
Beacon & Co,CH,2026-06-30,review,32.1,2026-12-31
Harborline LLP (EU),NL,2026-06-30,complete,54.6,2026-12-31
Northgate Assurance,IT,2026-09-30,fieldwork,115.9,2026-06-30
Everest Advisory,FR,2026-09-30,planning,29.8,2026-12-31
Northgate Assurance,FR,2026-09-30,planning,69.0,2026-03-31
Northgate Assurance,IT,2026-12-31,planning,26.5,2026-12-31
Lakeshore Partners,BE,2026-12-31,planning,31.3,2026-06-30
Harborline LLP (EU),NL,2026-06-30,complete,54.6,2026-12-31
Lakeshore Partners (UK),GB,2026-03-31,fieldwork,74.6,2026-03-31
Riverbend CPAs,,2026-03-31,complete,99.6,2026-03-31
Yellowfield LLP,GB,2026-09-30,complete,98.8,2026-03-31
Kestrel Audit,ES,2026-09-30,planning,28.2,2026-06-30
Umberline LLP,CH,2026-09-30,complete,114.5,2026-12-31
Zenith Assurance,IE,2026-03-31,review,45.6,2026-06-30
Vantage Audit,US,2026-09-30,review,32.6,2026-12-31
Northgate Assurance (UK),ES,2026-09-30,complete,108.8,2026-09-30
Kestrel Audit,CH,2026-06-30,planning,94.0,2026-09-30
Ironoak Assurance,US,2026-06-30,planning,9.0,2026-03-31
Zenith Assurance (US),FR,2026-09-30,planning,38.7,2026-03-31
Vantage Audit (UK),IT,31/12/2026,planning,89.4,2026-06-30
Quarry & Stone,BE,Dec 31st,fieldwork,18.5,2026-03-31
Summit Assurance (UK),DE,2026-09-30,planning,87.4,2026-06-30
Summit Assurance,,2026-09-30,review,101.7,2026-09-30
Everest Advisory,ES,2026-09-30,planning,23.4,2026-06-30
Fairview CPAs (EU),BE,2026-03-31,planning,96.5,2026-03-31
Harborline LLP,,2026-12-31,fieldwork,many,2026-09-30
Harborline LLP,DE,2026-12-31,complete,66.9,2026-03-31
Cedarwood LLP,US,2026-03-31,complete,43.6,2026-12-31
Beacon & Co,BE,2026-12-31,review,19.2,2026-09-30
Everest Advisory,FR,2026-09-30,fieldwork,10.3,2026-09-30
Oakfield LLP (EU),BE,2026-09-30,complete,65.7,2026-03-31
Ironoak Assurance (US),,2026-09-30,fieldwork,110.2,2026-06-30
Yellowfield LLP,NL,2026-06-30,review,12.0,2026-03-31
Riverbend CPAs,IT,2026-03-31,fieldwork,15.4,2026-09-30
Vantage Audit,GB,2026-12-31,review,7.9,2026-06-30
Meridian CPAs,IE,2026-09-30,review,104.3,2026-12-31
Thornton & Vale (UK),IT,2026-06-30,complete,5.4,2026-12-31
Granite Audit Group,DE,Dec 31st,planning,many,2026-12-31
